[2025-09-13 23:25:43] [INFO    ] discord.client: logging in using static token
[2025-09-13 23:25:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-13 23:25:43] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-13 23:25:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1416456802513584198', 'username': 'testing-robits', 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d', 'discriminator': '3078', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-13 23:25:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-13 23:25:43] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-13 23:25:43] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1416456802513584198', 'name': 'testing-robits', 'icon': '2a68127a5d58c27f66d4d70cd3e2817d', 'description': 'This is really just a bot to test things out and try new things ', 'type': None, 'bot': {'id': '1416456802513584198', 'username': 'testing-robits', 'avatar': '2a68127a5d58c27f66d4d70cd3e2817d', 'discriminator': '3078', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6adfb64e9c04e4c7664d72ac0218c47d28021284a57f6937c7794c04fe3fec30', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '361675863218978816', 'username': 'systemglitchfw', 'avatar': 'adfdd3170cc2297300f8761afcf6d83a', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'f1e5057eeb64e71025f9644316737189', 'accent_color': 26214, 'global_name': 'systemglitch', 'avatar_decoration_data': {'asset': 'a_a8c5af1848e53cc221d149442c03828f', 'sku_id': '1287835633703845888', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#006666', 'clan': {'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'tag': 'MIKU', 'badge': 'b1634260c0600006319f566a601bacad'}, 'primary_guild': {'identity_guild_id': '1369092161970110484', 'identity_enabled': True, 'tag': 'MIKU', 'badge': 'b1634260c0600006319f566a601bacad'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-13 23:25:43] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-13 23:25:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-rw9d",{"micros":0.0}]']}}
[2025-09-13 23:25:43] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-13 23:25:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
